dam_nm,msmt_tm,rsvr_wal_hg,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt
횡성,2024112221,177.15,0,3.902,3.902,70.5393,81.2
횡성,2024112220,177.15,0,3.855,3.855,70.5393,81.2
횡성,2024112219,177.15,0,0,3.806,70.5393,81.2
횡성,2024112218,177.16,0,3.794,3.794,70.5924,81.2
횡성,2024112217,177.16,0,3.794,3.794,70.5924,81.2
횡성,2024112216,177.16,0,3.794,3.794,70.5924,81.2
횡성,2024112215,177.16,0,3.793,3.793,70.5924,81.2
횡성,2024112214,177.16,0,3.795,3.795,70.5924,81.2
횡성,2024112213,177.16,0,3.786,3.786,70.5924,81.2
횡성,2024112212,177.16,0,0,3.717,70.5924,81.2
횡성,2024112211,177.17,0,3.78,3.78,70.6454,81.3
횡성,2024112210,177.17,0,3.854,3.854,70.6454,81.3
횡성,2024112209,177.17,0,3.888,3.888,70.6454,81.3
횡성,2024112208,177.17,0,3.827,3.827,70.6454,81.3
횡성,2024112207,177.17,0,3.796,3.796,70.6454,81.3
횡성,2024112206,177.17,0,0,3.796,70.6454,81.3
횡성,2024112205,177.18,0,3.797,3.797,70.6985,81.4
횡성,2024112204,177.18,0,3.795,3.795,70.6985,81.4
횡성,2024112203,177.18,0,3.794,3.794,70.6985,81.4
횡성,2024112202,177.18,0,3.793,3.793,70.6985,81.4
횡성,2024112201,177.18,0,3.793,3.793,70.6985,81.4
횡성,2024112124,177.18,0,0,3.794,70.6985,81.4
횡성,2024112123,177.19,0,3.831,3.831,70.7517,81.4
횡성,2024112122,177.19,0,3.84,3.84,70.7517,81.4
횡성,2024112121,177.19,0,3.838,3.838,70.7517,81.4
횡성,2024112120,177.19,0,3.84,3.84,70.7517,81.4
횡성,2024112119,177.19,0,3.84,3.84,70.7517,81.4
횡성,2024112118,177.19,0,0,3.736,70.7517,81.4
횡성,2024112117,177.196,0,0,3.683,70.7836,81.5
횡성,2024112116,177.2,0,3.791,3.791,70.8048,81.5
횡성,2024112115,177.2,0,3.817,3.817,70.8048,81.5
횡성,2024112114,177.2,0,3.885,3.885,70.8048,81.5
횡성,2024112113,177.2,0,3.885,3.885,70.8048,81.5
횡성,2024112112,177.2,0,0,3.874,70.8048,81.5
횡성,2024112111,177.21,0,3.839,3.839,70.858,81.5
횡성,2024112110,177.21,0,3.841,3.841,70.858,81.5
횡성,2024112109,177.21,0,3.777,3.777,70.858,81.5
횡성,2024112108,177.21,0,3.666,3.666,70.858,81.5
횡성,2024112107,177.21,0,3.708,3.708,70.858,81.5
횡성,2024112106,177.21,0,3.787,3.787,70.858,81.5
횡성,2024112105,177.21,0,0,3.793,70.858,81.5
횡성,2024112104,177.22,0,3.794,3.794,70.9112,81.6
횡성,2024112103,177.22,0,3.792,3.792,70.9112,81.6
횡성,2024112102,177.22,0,3.792,3.792,70.9112,81.6
횡성,2024112101,177.22,0,3.795,3.795,70.9112,81.6
횡성,2024112024,177.22,0,0,3.792,70.9112,81.6
횡성,2024112023,177.23,0,3.791,3.791,70.9644,81.7
횡성,2024112022,177.23,0,3.759,3.759,70.9644,81.7
횡성,2024112021,177.23,0,3.749,3.749,70.9644,81.7
횡성,2024112020,177.23,0,3.712,3.712,70.9644,81.7
횡성,2024112019,177.23,0,3.7,3.7,70.9644,81.7
횡성,2024112018,177.23,0,3.697,3.697,70.9644,81.7
횡성,2024112017,177.23,0,0,3.673,70.9644,81.7
횡성,2024112016,177.24,0,3.841,3.841,71.0176,81.7
횡성,2024112015,177.24,0,3.844,3.844,71.0176,81.7
횡성,2024112014,177.24,0,3.843,3.843,71.0176,81.7
횡성,2024112013,177.24,0,3.845,3.845,71.0176,81.7
횡성,2024112012,177.24,0,3.864,3.864,71.0176,81.7
횡성,2024112011,177.24,0,0,3.888,71.0176,81.7
횡성,2024112010,177.25,0,3.886,3.886,71.0709,81.8
횡성,2024112009,177.25,0,3.839,3.839,71.0709,81.8
횡성,2024112008,177.25,0,3.793,3.793,71.0709,81.8
횡성,2024112007,177.25,0,3.794,3.794,71.0709,81.8
횡성,2024112006,177.25,0,0,3.624,71.0709,81.8
